Phase,Loss(MSE),MAE,RMSE,R2,Pearson,Spearman,Kendall
Train,0.264681,0.132233,0.514472,0.655849,0.813477,0.967832,0.865560
Val,2.201920,0.696907,1.483887,0.015356,0.305041,0.578511,0.407925
