Phase,Loss(MSE),MAE,RMSE,R2,Pearson,Spearman,Kendall
Train,0.246110,0.080162,0.496094,0.815985,0.903323,0.983594,0.941482
Val,0.110391,0.236435,0.332252,0.215776,0.610947,0.672225,0.498911
