Iteration(Tree),Train_Loss(MSE),Val_Loss(MSE)
265,0.249755,0.110064
266,0.249713,0.110082
267,0.249667,0.110042
268,0.249627,0.110046
269,0.249591,0.110030
270,0.249544,0.110016
271,0.249506,0.110030
272,0.249463,0.110017
273,0.249424,0.110025
274,0.249385,0.110001
275,0.249356,0.109995
276,0.249305,0.109948
277,0.249234,0.109913
278,0.249176,0.109919
279,0.249114,0.109935
280,0.249060,0.109885
281,0.249009,0.109909
282,0.248960,0.109904
283,0.248916,0.109845
284,0.248871,0.109836
285,0.248829,0.109839
286,0.248782,0.109814
287,0.248745,0.109867
288,0.248700,0.109841
289,0.248667,0.109836
290,0.248634,0.109834
291,0.248595,0.109828
292,0.248561,0.109810
293,0.248530,0.109776
294,0.248503,0.109770
295,0.248475,0.109803
296,0.248450,0.109805
297,0.248421,0.109807
298,0.248401,0.109834
299,0.248373,0.109825
300,0.248350,0.109788
301,0.248332,0.109800
302,0.248305,0.109777
303,0.248285,0.109810
304,0.248264,0.109807
305,0.248243,0.109810
306,0.248224,0.109809
307,0.248207,0.109813
308,0.248191,0.109810
309,0.248175,0.109820
310,0.248161,0.109827
311,0.248145,0.109837
312,0.248127,0.109848
313,0.248115,0.109846
314,0.248098,0.109851
315,0.248058,0.109853
316,0.248018,0.109848
317,0.247994,0.109856
318,0.247964,0.109882
319,0.247954,0.109881
320,0.247929,0.109855
321,0.247920,0.109856
322,0.247907,0.109876
323,0.247892,0.109864
324,0.247865,0.109864
325,0.247831,0.110035
326,0.247807,0.110072
327,0.247777,0.110230
328,0.247753,0.110217
329,0.247731,0.110210
330,0.247710,0.110198
331,0.247691,0.110191
332,0.247671,0.110184
333,0.247648,0.110218
334,0.247612,0.110182
335,0.247594,0.110147
336,0.247576,0.110140
337,0.247561,0.110111
338,0.247546,0.110050
339,0.247513,0.110102
340,0.247482,0.110105
341,0.247452,0.110142
342,0.247426,0.110184
343,0.247406,0.110153
344,0.247394,0.110117
345,0.247369,0.110134
346,0.247347,0.110150
347,0.247339,0.110109
348,0.247330,0.110082
349,0.247322,0.110054
350,0.247314,0.110045
351,0.247307,0.110019
352,0.247300,0.110006
353,0.247294,0.109995
354,0.247287,0.109968
355,0.247278,0.109943
356,0.247272,0.109937
357,0.247256,0.109931
358,0.247238,0.109945
359,0.247220,0.109946
360,0.247204,0.109959
361,0.247187,0.110032
362,0.247168,0.110027
363,0.247146,0.110015
364,0.247131,0.110087
365,0.247116,0.110066
366,0.247098,0.110068
367,0.247083,0.110073
368,0.247066,0.110096
369,0.247053,0.110133
370,0.247040,0.110148
371,0.247026,0.110151
372,0.247008,0.110162
373,0.246991,0.110172
374,0.246977,0.110196
375,0.246963,0.110179
376,0.246948,0.110174
377,0.246936,0.110202
378,0.246923,0.110190
379,0.246909,0.110188
380,0.246898,0.110191
381,0.246886,0.110189
382,0.246875,0.110191
383,0.246862,0.110163
384,0.246848,0.110155
385,0.246838,0.110171
386,0.246827,0.110170
387,0.246814,0.110165
388,0.246803,0.110131
389,0.246794,0.110143
390,0.246782,0.110173
391,0.246773,0.110174
392,0.246754,0.110183
393,0.246737,0.110204
394,0.246725,0.110206
395,0.246713,0.110215
396,0.246702,0.110230
397,0.246691,0.110227
398,0.246678,0.110302
399,0.246666,0.110285
400,0.246655,0.110345
401,0.246645,0.110341
402,0.246638,0.110387
403,0.246629,0.110404
404,0.246621,0.110416
405,0.246613,0.110400
406,0.246604,0.110398
407,0.246592,0.110407
408,0.246586,0.110396
409,0.246578,0.110390
410,0.246567,0.110409
411,0.246559,0.110409
412,0.246550,0.110422
413,0.246544,0.110420
414,0.246534,0.110415
415,0.246527,0.110403
416,0.246518,0.110383
417,0.246512,0.110376
418,0.246504,0.110352
419,0.246497,0.110368
420,0.246490,0.110358
421,0.246482,0.110357
422,0.246475,0.110351
423,0.246469,0.110349
424,0.246463,0.110372
425,0.246455,0.110351
426,0.246449,0.110338
427,0.246441,0.110349
428,0.246434,0.110365
429,0.246427,0.110372
430,0.246421,0.110377
431,0.246414,0.110365
432,0.246406,0.110363
433,0.246400,0.110352
434,0.246389,0.110348
435,0.246380,0.110324
436,0.246372,0.110332
437,0.246363,0.110312
438,0.246356,0.110311
439,0.246348,0.110320
440,0.246340,0.110346
441,0.246334,0.110352
442,0.246327,0.110380
443,0.246321,0.110400
444,0.246315,0.110398
445,0.246309,0.110395
446,0.246302,0.110392
447,0.246296,0.110390
448,0.246290,0.110393
449,0.246284,0.110406
450,0.246280,0.110411
451,0.246275,0.110413
452,0.246270,0.110422
453,0.246264,0.110430
454,0.246260,0.110415
455,0.246255,0.110393
456,0.246251,0.110401
457,0.246246,0.110393
