Phase,Loss(MSE),MAE,RMSE,R2,Pearson,Spearman,Kendall
Train,0.000167,0.009410,0.012922,0.999797,0.999907,0.999115,0.978880
Val,2.396774,0.589463,1.548152,0.029194,0.303162,0.529420,0.386442
