Iteration(Tree),Train_Loss(MSE),Val_Loss(MSE)
1,0.772534,2.504706
2,0.726736,2.496141
3,0.683972,2.490628
4,0.644895,2.483651
5,0.606041,2.479471
6,0.570303,2.473874
7,0.537483,2.471575
8,0.506967,2.469521
9,0.478925,2.467349
10,0.452985,2.462731
11,0.428986,2.461471
12,0.406624,2.459931
13,0.385727,2.459709
14,0.366373,2.455992
15,0.348298,2.455170
16,0.331798,2.451265
17,0.316403,2.449129
18,0.301702,2.447148
19,0.287952,2.446099
20,0.275413,2.443960
21,0.263670,2.444530
22,0.252161,2.443657
23,0.241529,2.442995
24,0.231571,2.442537
25,0.222554,2.436143
26,0.214048,2.435109
27,0.206050,2.431283
28,0.198878,2.430496
29,0.191943,2.427316
30,0.185075,2.426550
31,0.178563,2.423626
32,0.173054,2.422681
33,0.167407,2.420834
34,0.162337,2.420087
35,0.157329,2.420618
36,0.151954,2.419890
37,0.146242,2.418364
38,0.141186,2.416616
39,0.136318,2.416325
40,0.131690,2.416151
41,0.128222,2.414401
42,0.123680,2.413263
43,0.119631,2.413595
44,0.115847,2.411081
45,0.112098,2.409991
46,0.109049,2.407284
47,0.105690,2.406364
48,0.102370,2.407005
49,0.099375,2.406374
50,0.096575,2.405557
51,0.094407,2.404739
52,0.091858,2.402593
53,0.090090,2.401873
54,0.087765,2.400112
55,0.085574,2.398517
56,0.083864,2.397456
57,0.081220,2.397554
58,0.079734,2.396023
59,0.077685,2.396140
60,0.075853,2.394903
61,0.074459,2.394681
62,0.073354,2.394783
63,0.071727,2.394390
64,0.069748,2.394690
65,0.068062,2.395122
66,0.066989,2.394218
67,0.065331,2.393806
68,0.063878,2.393777
69,0.061893,2.395118
70,0.060543,2.394145
71,0.059135,2.388826
72,0.057551,2.390038
73,0.056271,2.389967
74,0.054840,2.389868
75,0.053451,2.390158
76,0.052581,2.390718
77,0.051485,2.389255
78,0.050658,2.389206
79,0.050140,2.388437
80,0.049082,2.388600
81,0.048149,2.387552
82,0.047697,2.386849
83,0.046773,2.387766
84,0.046373,2.387170
85,0.045488,2.387270
86,0.044924,2.387082
87,0.044144,2.387663
88,0.043809,2.387031
89,0.043077,2.387775
90,0.042500,2.387961
91,0.041731,2.387373
92,0.041189,2.386696
93,0.040833,2.386225
94,0.040214,2.386146
95,0.039542,2.385634
96,0.039312,2.385312
97,0.038921,2.385393
98,0.038245,2.384945
99,0.037614,2.385592
100,0.037270,2.385680
101,0.036563,2.385594
102,0.036241,2.384761
103,0.035579,2.383580
104,0.034944,2.383527
105,0.034655,2.382843
106,0.034205,2.383021
107,0.033429,2.382628
108,0.032961,2.382458
109,0.032532,2.382547
110,0.032275,2.382674
111,0.031805,2.382060
112,0.031493,2.381930
113,0.031162,2.382076
114,0.030867,2.382237
115,0.030474,2.382359
116,0.030263,2.382504
117,0.029912,2.382431
118,0.029636,2.382364
119,0.029278,2.382846
120,0.028945,2.382850
121,0.028462,2.383756
122,0.027999,2.384609
123,0.027796,2.384932
124,0.027378,2.384821
125,0.026989,2.385686
126,0.026614,2.386333
127,0.026289,2.386014
128,0.026109,2.386140
129,0.025582,2.387202
130,0.025172,2.387537
131,0.024737,2.387784
132,0.024143,2.388460
133,0.023600,2.389131
134,0.022991,2.389095
135,0.022488,2.388726
136,0.021942,2.388743
137,0.021715,2.388354
138,0.021298,2.388200
139,0.021068,2.387733
140,0.020693,2.387535
141,0.020455,2.387250
142,0.020071,2.387809
143,0.019588,2.387369
144,0.019334,2.386911
145,0.018957,2.386776
146,0.018540,2.386988
147,0.018178,2.386977
148,0.017908,2.386656
149,0.017655,2.386869
150,0.017327,2.386885
151,0.017116,2.386884
152,0.016777,2.386932
153,0.016583,2.386751
154,0.016378,2.386371
155,0.016022,2.386473
156,0.015806,2.386592
157,0.015411,2.385969
158,0.015044,2.385376
159,0.014765,2.385121
160,0.014597,2.385041
161,0.014292,2.384902
162,0.014027,2.385004
163,0.013699,2.384812
164,0.013432,2.384896
165,0.013127,2.384263
166,0.012849,2.383654
167,0.012673,2.383708
168,0.012463,2.383687
169,0.012203,2.383188
170,0.011930,2.382874
171,0.011712,2.382624
172,0.011478,2.382396
173,0.011228,2.382174
174,0.011013,2.382675
175,0.010799,2.383029
176,0.010602,2.383367
177,0.010443,2.383364
178,0.010279,2.383930
179,0.010120,2.384453
180,0.009977,2.384874
181,0.009843,2.385368
182,0.009673,2.385238
183,0.009498,2.385828
184,0.009350,2.386248
185,0.009208,2.387090
186,0.009055,2.386867
187,0.008906,2.386675
188,0.008781,2.386476
189,0.008640,2.386295
190,0.008498,2.386086
191,0.008342,2.386060
192,0.008200,2.386427
193,0.008064,2.386401
194,0.007897,2.386894
195,0.007746,2.387041
196,0.007631,2.387209
197,0.007503,2.387314
198,0.007379,2.387577
199,0.007252,2.387586
200,0.007126,2.387444
201,0.007010,2.387410
202,0.006891,2.387534
203,0.006787,2.387447
204,0.006691,2.387356
205,0.006602,2.387264
206,0.006517,2.387198
207,0.006430,2.387371
208,0.006357,2.387549
209,0.006287,2.387487
210,0.006215,2.387601
211,0.006124,2.387525
212,0.006069,2.387358
213,0.005995,2.387253
214,0.005918,2.387250
215,0.005850,2.387016
216,0.005762,2.386855
217,0.005681,2.386701
218,0.005601,2.386561
219,0.005528,2.386280
220,0.005430,2.386121
221,0.005366,2.385824
222,0.005278,2.385677
223,0.005159,2.385925
224,0.005101,2.385474
225,0.005027,2.385311
226,0.004973,2.384789
227,0.004927,2.384559
228,0.004833,2.384488
229,0.004788,2.384474
230,0.004710,2.384640
231,0.004640,2.384797
232,0.004537,2.384937
233,0.004443,2.385156
234,0.004392,2.385345
235,0.004309,2.385520
236,0.004235,2.385790
237,0.004181,2.386001
238,0.004111,2.386167
239,0.004057,2.386322
240,0.004006,2.386799
241,0.003963,2.387019
242,0.003876,2.386794
243,0.003793,2.386615
244,0.003737,2.386653
245,0.003699,2.386787
246,0.003634,2.386929
247,0.003592,2.387121
248,0.003558,2.387265
249,0.003499,2.387395
250,0.003457,2.387216
251,0.003408,2.387255
252,0.003344,2.387418
253,0.003306,2.387385
254,0.003278,2.387370
255,0.003248,2.387426
256,0.003219,2.387600
257,0.003202,2.387607
258,0.003185,2.387613
259,0.003164,2.387636
260,0.003119,2.387588
261,0.003077,2.387639
262,0.003040,2.387487
263,0.003004,2.387532
264,0.002960,2.387414
265,0.002918,2.387390
266,0.002882,2.387304
267,0.002859,2.387547
268,0.002805,2.387362
269,0.002759,2.387229
270,0.002713,2.387434
271,0.002672,2.387604
272,0.002633,2.387848
273,0.002598,2.388011
274,0.002563,2.388071
275,0.002531,2.388178
276,0.002496,2.388239
277,0.002467,2.388404
278,0.002445,2.388406
279,0.002412,2.388428
280,0.002390,2.388543
281,0.002360,2.388633
282,0.002330,2.388637
283,0.002304,2.389019
284,0.002280,2.388999
285,0.002257,2.389083
286,0.002235,2.389096
287,0.002206,2.389128
288,0.002177,2.389281
289,0.002151,2.389250
290,0.002130,2.389399
291,0.002110,2.389462
292,0.002086,2.389460
293,0.002066,2.389421
294,0.002043,2.389430
295,0.002026,2.389516
296,0.002009,2.389440
297,0.001989,2.389480
298,0.001972,2.389451
299,0.001957,2.389381
300,0.001943,2.389539
301,0.001925,2.389607
302,0.001910,2.389582
303,0.001892,2.389569
304,0.001879,2.389605
305,0.001863,2.389661
306,0.001849,2.389633
307,0.001834,2.389309
308,0.001812,2.389293
309,0.001793,2.389319
310,0.001769,2.389311
311,0.001747,2.389314
312,0.001731,2.389326
313,0.001713,2.389429
314,0.001697,2.389412
315,0.001683,2.389450
316,0.001672,2.389461
317,0.001659,2.389490
318,0.001641,2.389509
319,0.001625,2.389544
320,0.001610,2.389576
321,0.001592,2.389713
322,0.001578,2.389711
323,0.001563,2.389810
324,0.001550,2.389790
325,0.001536,2.389914
326,0.001526,2.389924
327,0.001511,2.389913
328,0.001496,2.389923
329,0.001471,2.389955
330,0.001459,2.390018
331,0.001438,2.389996
332,0.001415,2.389938
333,0.001391,2.390032
334,0.001370,2.389987
335,0.001351,2.390052
336,0.001331,2.390059
337,0.001313,2.390067
338,0.001294,2.390204
339,0.001275,2.390147
