Phase,Loss(MSE),MAE,RMSE,R2,Pearson,Spearman,Kendall
Train,0.543376,0.181454,0.737140,0.293477,0.577106,0.966807,0.857865
Val,2.401741,0.755441,1.549755,-0.073999,0.335639,0.487493,0.338384
