Phase,Loss(MSE),MAE,RMSE,R2,Pearson,Spearman,Kendall
Train,0.508447,0.227460,0.713054,0.381264,0.706928,0.958073,0.839948
Val,2.396592,0.606450,1.548093,0.029267,0.316940,0.529461,0.396526
