Phase,Loss(MSE),MAE,RMSE,R2,Pearson,Spearman,Kendall
Train,0.059959,0.113768,0.244864,0.927036,0.978987,0.964529,0.857358
Val,2.389240,0.583393,1.545717,0.032245,0.326648,0.554567,0.405491
