Phase,Loss(MSE),MAE,RMSE,R2,Pearson,Spearman,Kendall
Train,0.989111,0.293947,0.994541,0.260448,0.603031,0.946601,0.815788
Val,0.134885,0.274886,0.367268,0.041770,0.423356,0.507714,0.377342
