Phase,Loss(MSE),MAE,RMSE,R2,Pearson,Spearman,Kendall
Train,0.249707,0.079856,0.499707,0.806821,0.898235,0.984417,0.943629
Val,0.290293,0.355896,0.538788,0.345586,0.621978,0.674852,0.505172
