Iteration(Tree),Train_Loss(MSE),Val_Loss(MSE)
1,1.226277,0.441188
2,1.164746,0.426371
3,1.107993,0.412504
4,1.055751,0.399830
5,1.007082,0.389784
6,0.961843,0.380989
7,0.926064,0.373362
8,0.893253,0.365896
9,0.857346,0.360690
10,0.828952,0.356368
11,0.796813,0.353522
12,0.772991,0.349354
13,0.744832,0.345720
14,0.723598,0.343817
15,0.697559,0.338805
16,0.673094,0.335286
17,0.650265,0.330220
18,0.628854,0.327196
19,0.608935,0.323649
20,0.590511,0.321735
21,0.573022,0.318690
22,0.556695,0.315913
23,0.541415,0.312935
24,0.527411,0.310768
25,0.516527,0.308292
26,0.503340,0.306505
27,0.491021,0.305519
28,0.479537,0.305021
29,0.469066,0.304478
30,0.459593,0.303488
31,0.450120,0.303109
32,0.441041,0.302744
33,0.433234,0.302411
34,0.425597,0.302435
35,0.418010,0.301167
36,0.411054,0.300366
37,0.404757,0.300509
38,0.398338,0.299477
39,0.393005,0.299058
40,0.387208,0.298043
41,0.382385,0.298320
42,0.377355,0.297457
43,0.373159,0.296686
44,0.368616,0.296207
45,0.364554,0.295327
46,0.360717,0.294535
47,0.357375,0.294046
48,0.353615,0.293987
49,0.350419,0.294093
50,0.347379,0.293481
51,0.344324,0.293246
52,0.341215,0.293131
53,0.338792,0.292759
54,0.335929,0.292338
55,0.333775,0.292618
56,0.331695,0.292718
57,0.329298,0.291928
58,0.327350,0.292251
59,0.325340,0.291521
60,0.323341,0.291562
61,0.321819,0.291476
62,0.319565,0.291083
63,0.317848,0.290722
64,0.316499,0.290963
65,0.314475,0.290612
66,0.312890,0.291133
67,0.311749,0.290615
68,0.310384,0.291209
69,0.309374,0.291807
70,0.308143,0.291889
71,0.306631,0.291581
72,0.305209,0.291579
73,0.304159,0.291668
74,0.302930,0.291651
75,0.302035,0.291655
76,0.301164,0.291742
77,0.300017,0.291482
78,0.299303,0.291356
79,0.298200,0.290954
80,0.297431,0.291006
81,0.296143,0.291006
82,0.295153,0.290784
83,0.294478,0.290772
84,0.293644,0.290606
85,0.292207,0.290099
86,0.291727,0.290136
87,0.290408,0.289681
88,0.289764,0.289592
89,0.288564,0.289188
90,0.287576,0.289290
91,0.286576,0.288609
92,0.285604,0.287860
93,0.284724,0.287243
94,0.283820,0.287072
95,0.283062,0.286995
96,0.282302,0.286432
97,0.281662,0.286483
98,0.280989,0.286545
99,0.280409,0.286074
100,0.279764,0.285954
101,0.279205,0.285806
102,0.278717,0.285390
103,0.278225,0.285353
104,0.277779,0.285511
105,0.277299,0.285082
106,0.276816,0.285047
107,0.276369,0.284933
108,0.275954,0.284924
109,0.275525,0.284693
110,0.275122,0.284482
111,0.274705,0.284089
112,0.274313,0.283965
113,0.274010,0.283912
114,0.273795,0.283700
115,0.273499,0.283728
116,0.273274,0.283664
117,0.273091,0.283809
118,0.272773,0.283840
119,0.272537,0.283839
120,0.272285,0.283736
121,0.271998,0.283629
122,0.271752,0.283771
123,0.271564,0.283765
124,0.271303,0.283903
125,0.271042,0.284011
126,0.270782,0.284036
127,0.270453,0.284187
128,0.270308,0.284159
129,0.270103,0.284078
130,0.269794,0.284290
131,0.269583,0.284427
132,0.269408,0.284483
133,0.269239,0.284460
134,0.268985,0.284556
135,0.268676,0.284321
136,0.268430,0.284188
137,0.268138,0.283956
138,0.267917,0.284056
139,0.267650,0.283802
140,0.267555,0.283850
141,0.267317,0.283685
142,0.267068,0.283609
143,0.266858,0.283635
144,0.266725,0.283746
145,0.266399,0.283768
146,0.266122,0.283678
147,0.265830,0.283704
148,0.265563,0.283702
149,0.265350,0.283786
150,0.265054,0.283839
151,0.264858,0.283860
152,0.264678,0.283947
153,0.264507,0.283981
154,0.264364,0.283993
155,0.264280,0.283967
156,0.264202,0.284035
157,0.263877,0.284080
158,0.263745,0.284117
159,0.263621,0.284168
