Model,Metric,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Mean,SD
RandomForest,MAE,0.37570512915693893,0.4391029431251669,0.34597536404948565,0.3526054322683576,0.27115514720335004,0.3569088031606598,0.05403874002480535
RandomForest,Spearman_R,0.7698682394507458,0.7535636807896084,0.7761040068201193,0.6469376876442515,0.6747596210041197,0.7242466471417689,0.05302008086388026
SVM,MAE,0.28438037511059455,0.36774320964694635,0.3322040266205692,0.2774671599386557,0.29160070477275857,0.3106790952179049,0.03428782913429568
SVM,Spearman_R,0.7506805052294475,0.7428295175225416,0.7502685421994885,0.6110790310807337,0.6779773360023514,0.7065669864069125,0.054965657290965024
XGBoost,MAE,0.45487818222013887,0.5046698508499999,0.3000232911009722,0.3610964162201389,0.286198554675,0.38137325901325003,0.08566471300724379
XGBoost,Spearman_R,0.7285709561653237,0.670998452920183,0.7480520034100596,0.5903052833552849,0.6058819264087252,0.6687617244519153,0.06321135600689277
