Phase,Loss(MSE),MAE,RMSE,R2,Pearson,Spearman,Kendall
Train,0.139623,0.144698,0.373662,0.896706,0.964950,0.967843,0.861749
Val,1.148931,0.433003,1.071882,-5.966627,0.295199,0.693581,0.506713
