Gene,Delta_R,P_Value,Neg_Log10_P
CACNA1G,0.10798364692783013,0.4582462970437856,0.3389010357600681
CACNA1H,0.03060504394168817,1.0,-0.0
CACNA1I,0.009949896539907188,0.9871987061952489,0.005595422488945658
CACNA1S,0.10930802157226427,0.7753372065848082,0.11050937477322473
CACNA2D2,-0.010202922349192622,0.9492285721848177,0.022629197808842993
CAD,0.04853846249746674,0.5368593519484742,0.270139477192962
CAMK2B,-0.11244741606386821,0.36140933626248783,0.4420006325307389
CAMK2G,0.08837998396655955,0.8190792940817251,0.08667405267769437
CASK,0.16110560104392013,0.3847533507930365,0.4148175892363434
CASR,0.03673611137331434,0.7981452619376943,0.0979180601320087
CDC42BPA,0.1108077564752653,0.5757347047218859,0.2397775909114855
CDC42BPB,-0.0032402268456378502,0.9817516307849509,0.007998368651567984
CDK11B,-0.15260603718179966,0.35117695970476726,0.4544739853665146
CES1,-0.06094038913420896,1.0,-0.0
CHRM2,-0.20073462192192804,0.10935359054121598,0.9611669526662454
CIT,0.0522871807568559,0.9830660249707502,0.007417312974041541
CLCN2,0.11425335119955893,0.2983240999341661,0.5253116610005002
CLK3,0.04077640276119543,0.9492285721848177,0.022629197808842993
CLPX,-0.05960770450878605,0.4575534658490924,0.33955815063242734
CLTC,0.026949003373471947,0.8485047100413589,0.07134574257518662
COL1A2,-0.010408408201829866,0.8908429913760706,0.050198832425080914
COL4A4,0.03762029484622975,0.6893533952432508,0.16155808105695887
CPS1,-0.13261371677513067,0.09317594131286851,1.0306962110783402
CREBBP,0.20467175795771275,0.07812164397113994,1.107228626110218
CSF1,-0.023678033473998217,1.0,-0.0
CSNK2A2,-0.0961250694074468,0.25277019906469933,0.5972741295378443
CTSS,-0.15431336653860084,0.33672153929352866,0.47272910191566037
CYP11B1,-0.06935370364917681,0.18334215844705604,0.7367376601020679
CYP26B1,0.07908018222756441,0.8190792940817251,0.08667405267769437
CYP2A6,-0.09236808443596167,0.9203973758317205,0.036024628229630644
CYP2D6,-0.13693910969924683,0.31403143659421595,0.5030268740414
DAPK1,-0.12312862911866529,0.45806207062894355,0.3390756680548008
DDX3X,-0.0059652104458693955,0.6148204772623855,0.21125167628296476
DGKG,-0.029697839903196077,0.3141058972247557,0.5029239098029354
DLG4,-0.21338924544800897,0.08557069928201395,1.0676749189505332
DNM1,-0.055381134431741086,0.4322590535445656,0.3642559017827387
DNMT1,-0.27502690177603417,0.013015441021444196,1.8855411114629608
DOT1L,-0.05589154291637066,0.47182127201448065,0.3262224828860943
DPP4,-0.13083955237532652,0.4925945631851122,0.30751038582159107
DSTYK,-0.0773821434090396,0.5830394883621386,0.23430203015178197
DUSP22,-0.06936100058765204,0.8548109910288257,0.06812990238012324
DVL3,0.08625784274210646,0.4642089332332321,0.3332865062399288
DYRK1B,-0.005837528926897706,0.8548109910288257,0.06812990238012324
EIF2AK3,-0.0806543177983533,0.1432300904417781,0.8439657338436574
ENGASE,-0.23104692210054784,0.13181371880116946,0.8800393872413296
ENPP2,-0.006007343432607892,0.552046517116344,0.2580243257567213
EP300,0.09458480143597381,0.6254228954035344,0.2038262242037167
EPHA1,0.05486076645852844,0.9848197975556567,0.006643229489052214
ESRRG,-0.15117927398788444,0.23428523683911684,0.6302550770082892
ETV1,0.11661863099327074,0.3958771994408472,0.4024395107311912
FADS2,0.1563201720489108,0.3142188331637461,0.502767788443173
FAP,0.06633291110496264,0.7422923991096215,0.12942498649251213
FASN,0.2215413231751041,0.019555427317437136,1.7087326895774948
FGD1,0.16558227076411158,0.23428523683911684,0.6302550770082892
FGFR1,0.0011225303735535874,0.8548109910288257,0.06812990238012324
FGFR3,0.15682603971304432,0.30334717833083624,0.5180600404135111
FLI1,-0.08889406486766493,0.4642089332332321,0.3332865062399288
FLT1,0.0638343986070834,0.8818879853780514,0.05458657407633117
FLT4,-0.15441069053767398,0.18463106204215662,0.7336952321363952
FN1,-0.256358207351898,0.027077740043736233,1.567387585462959
FOLH1,0.12555696108073666,0.6314554810684352,0.19965726269829104
FXR1,0.13340837297090236,0.6473414043072192,0.1888666143831485
G6PD,-0.0972882152211656,0.40779387321039406,0.3895593034497523
GABBR1,0.1142003458948414,0.5224506695887874,0.2819547098806099
GAK,-0.011116804685750159,0.8908429913760706,0.050198832425080914
GAPDH,0.12986294904750817,0.18463106204215662,0.7336952321363952
GIGYF2,-0.0054753529105965315,0.9271018744056421,0.03287254087029818
GNAS,0.09916690783508164,0.29044823832462174,0.5369312533355092
GRIA1,0.05131265947664854,1.0,-0.0
GRIN2A,0.055074424700244484,0.9362797726908707,0.028594358974963107
GRIN2B,-0.0773821434090396,0.5830394883621386,0.23430203015178197
GRIN2C,0.025602963913563093,0.7190270362251893,0.14325477934916445
GRM4,-0.0773821434090396,0.5830394883621386,0.23430203015178197
GRM5,-0.079199815218296,0.6638631518536191,0.17792143647547792
GUCY2C,0.16621638523264148,0.18463106204215662,0.7336952321363952
HAGH,0.06260769502783603,0.31502922201312245,0.5016491593201574
HCAR2,-0.05288162811165198,0.4102660092585979,0.38693446305484946
HDAC8,-0.039997590099494995,0.552046517116344,0.2580243257567213
HGF,-0.13619977260443294,0.1954112417076379,0.7090504556061988
HIPK2,-0.013224909670006446,0.6557931138477229,0.183233147949723
HIPK3,-0.05213670161380801,0.9271018744056421,0.03287254087029818
HK1,-0.023046180400077443,0.7488007540288499,0.12563372694302297
HSPA8,-0.18815670277096408,0.041764616508802796,1.3791915020200158
HSPH1,-0.005735023046063326,0.6148204772623855,0.21125167628296476
HYOU1,0.00853291585890259,0.9840540336599586,0.006981054133616971
ICAM3,-0.1412926773971267,0.4575534658490924,0.33955815063242734
IDE,0.0801928366507959,0.9830660249707502,0.007417312974041541
IDH1,-0.24485348860307732,0.024990634217458604,1.6022227221189473
IDO2,-0.026082173871200265,0.7488007540288499,0.12563372694302297
IGF2R,-0.1046459887379605,0.4642089332332321,0.3332865062399288
INPP5A,0.03654658942364686,0.9271018744056421,0.03287254087029818
ITGA2B,0.12412119574696834,0.7182279357196214,0.14373770684997497
ITGAM,0.0773753121142553,0.7024218228077665,0.1534020042520571
ITGB1,-0.09816308799570816,0.3847533507930365,0.4148175892363434
ITPR1,-0.004132760205946218,0.7640038982031087,0.11690442550313157
ITPR2,-0.06059094619156158,0.8727940036015245,0.0590882461636594
JAK2,-0.1264975360454541,0.15013982308546567,0.8235041002123487
KAT6B,-0.14158218126190059,0.24636453799320357,0.6084218048770585
KCNAB1,-0.07985065008381309,0.2304509112108426,0.6374215703207218
KCNC1,0.004617333877716012,0.8548109910288257,0.06812990238012324
KCNH2,0.1377741953176539,0.47050584523161454,0.3274349768359443
KCNMA1,-0.05848075338104686,0.48144007251236165,0.31745776419248717
KCNQ1,0.12401487498092945,0.6893533952432508,0.16155808105695887
KDM2B,-0.008529257496093345,0.6867433610011986,0.16320553037042432
KDM5A,-0.01636723910563198,0.5224506695887874,0.2819547098806099
KDM6A,0.0015525832833931386,0.5054527379879805,0.296319446582597
KDM6B,0.0005835531202589284,0.9635128056760234,0.016142508930192596
KDR,0.04015792080990732,0.7501984075348767,0.12482386207219251
KHSRP,-0.04947870842720625,0.33186597166154674,0.4790372762965797
KIF1A,0.01708260771745318,0.4649568019428868,0.33258739452792074
KIF1B,0.201286241138096,0.04659697209500129,1.3316423031631468
KIF7,0.14902297205689874,0.33186597166154674,0.4790372762965797
KIFC3,0.06485379869853602,0.6457368678632922,0.18994441716780755
KMT2A,0.0522515223263087,0.8264843188543332,0.08276538201950162
KMT2B,0.10082044486513708,0.8548109910288257,0.06812990238012324
KMT2C,0.024210767395487554,0.6348147909499086,0.19735296289845478
KMT2D,-0.030403604448326682,0.6505059027787362,0.18674875823751866
KRAS,-0.09704503393769182,0.5956754816433603,0.22499027535211016
L3MBTL4,0.013643997094324622,0.7837194592221918,0.10583936986101446
LHCGR,-0.01673415376245657,0.9544813639472189,0.020232546698181423
LIMK2,0.022418318514273894,0.8908429913760706,0.050198832425080914
LRRK2,0.08075758633213392,0.6473414043072192,0.1888666143831485
MAGI3,0.1691841424183943,0.26238418670612107,0.5810623424412562
MAN1B1,-0.31632956265041456,0.011868754794388668,1.9255948424854268
MAN2A1,-0.16928870199472557,0.13181371880116946,0.8800393872413296
MAN2B1,0.15824988769741022,0.3847533507930365,0.4148175892363434
MAP1B,0.13747153354084873,0.31763399454441765,0.498073023710328
MAP2K3,0.026745312783789,0.5757347047218859,0.2397775909114855
MAP2K5,0.035300468062146706,0.7663500274863527,0.11557282268539827
MAP3K13,-0.11693877227851812,0.23428523683911684,0.6302550770082892
MAP3K4,0.06017632294398345,0.9271018744056421,0.03287254087029818
MAP4K1,0.09171085816987634,0.36023502889800907,0.4434140590971437
MAP4K4,0.1084265905397076,0.4102660092585979,0.38693446305484946
MAPK4,0.034305973428908176,0.9635128056760234,0.016142508930192596
MAST1,0.07435696339515996,0.8818879853780514,0.05458657407633117
MAX,0.07065940961404138,0.8908429913760706,0.050198832425080914
MBD2,0.06797218783766268,1.0,-0.0
MBTPS1,0.17891186403199355,0.2722478077730056,0.5650356086370908
MDM2,0.10311384281662495,0.4102660092585979,0.38693446305484946
METAP2,0.08161268145178391,0.36023502889800907,0.4434140590971437
MGAM,0.026623668269025402,0.9045466686160533,0.04356902150778742
MINK1,-0.0804425136431901,0.43675784204813706,0.359759288456864
MTAP,-0.043995929705766934,0.7796210550313416,0.10811644051330425
MTHFD1,-0.018345863735775292,0.8548109910288257,0.06812990238012324
MUC16,-0.1486611191228998,0.046606250743199115,1.3315558326398658
MYH9,-0.07238697861404397,0.7662007369583784,0.11565743463328143
MYLK,-0.006922569615359864,1.0,-0.0
MYO3B,-0.10396764893762689,0.3184812961846909,0.4969160678884358
NCAM1,-0.20461642305147099,0.0588862861138644,1.2299858352391104
NEDD4,-0.06701646256336724,0.8986625149446985,0.046403373244480545
NEK1,-0.1648875227957166,0.2790373532105611,0.5543376561981422
NEU4,-0.25344710439037144,0.10935359054121598,0.9611669526662454
NOS3,-0.20709469144483517,0.048388326816412,1.315259394774256
NOTCH1,-0.12092556711958147,0.1443290039141429,0.8406463856485002
NOTCH3,0.087572129829112,0.8190792940817251,0.08667405267769437
NOTCH4,-0.11725718096950544,0.35843991551402843,0.445583633713484
NR2F2,-0.041170070027115147,0.47182127201448065,0.3262224828860943
NSD1,-0.02533074239674371,0.723932203466285,0.14030210374642593
NT5C2,-0.05764989675368859,0.5107705973194676,0.29177411099640493
NTRK3,0.13488381354111012,0.6148204772623855,0.21125167628296476
NUAK2,0.08085427882875795,0.8908429913760706,0.050198832425080914
OGDH,0.12021462227422997,0.7753372065848082,0.11050937477322473
OGT,0.08038188312885441,0.7488007540288499,0.12563372694302297
PABPC1,0.21849291418483763,0.0051160800032589125,2.2910626728129664
PABPC4,0.019886121952447655,0.8908429913760706,0.050198832425080914
PAK6,-0.16509684448561746,0.3312310717027541,0.47986893023225696
PBRM1,0.05041088839249552,0.9830660249707502,0.007417312974041541
PCDH15,-0.09615119508082415,0.3827575808292909,0.41707619898443526
PCSK5,0.02129814189163015,0.6867433610011986,0.16320553037042432
PDE2A,-0.17086303595313246,0.18463106204215662,0.7336952321363952
PDE4B,-0.1494131988183004,0.09317594131286851,1.0306962110783402
PDE5A,0.15106912015550233,0.39738622502574195,0.40078719132533336
PDE6D,0.07971012112906806,0.3288868598357776,0.48295347773295116
PHLPP1,0.013003811675832866,0.811273605866928,0.09083265321333747
PI4KA,0.0757886252785388,0.7245535949219153,0.13992948442611583
PIK3C2A,-0.16748015548988637,0.22541077763941042,0.6470253227290298
PIK3C2B,0.11971154268004713,0.5956754816433603,0.22499027535211016
PIK3C3,-0.10601585796067425,0.5368593519484742,0.270139477192962
PIK3CG,0.16104388792880175,0.2790373532105611,0.5543376561981422
PIK3R2,-0.18944368111442256,0.15615518746148402,0.806443583969954
PIKFYVE,-0.15756166655069437,0.25277019906469933,0.5972741295378443
PIP4K2B,0.11581880077432694,0.521885197608717,0.2824250209985738
PIP5K1C,0.12795535754313248,0.6805499414350773,0.16713999905163815
PITRM1,-0.2059248878621237,0.05364428789595173,1.2704765154005329
PKM,0.018236975349017248,0.9492285721848177,0.022629197808842993
PKN2,0.1783059734289083,0.20023431905623013,0.6984614848018009
PLAT,-0.05238310955387071,0.8190792940817251,0.08667405267769437
PLCB1,0.0726960618418453,0.9492285721848177,0.022629197808842993
PLEC,0.061192062298600525,0.7700697392778071,0.1134699423443561
POLA1,-0.11482382104080302,0.16503126741410512,0.7824337650046398
POLG,0.03493732836227581,0.96811443570093,0.01407330399737618
PPM1A,0.17669026515401332,0.23428523683911684,0.6302550770082892
PPP3CA,0.1115527360517593,0.8548109910288257,0.06812990238012324
PPP3CB,0.05732981634615919,1.0,-0.0
PRKCB,0.17727867406106246,0.1143488531685317,0.9417681866766113
PRKCI,0.0011225303735535874,0.8548109910288257,0.06812990238012324
PRKDC,-0.12857714908807016,0.19186783348590342,0.7169978283417433
PROC,0.019304757494019498,0.8818879853780514,0.05458657407633117
PTK2,-0.02135288408735181,0.3063112198680076,0.5138370951375318
PTPRB,-0.012544076613261401,0.8908429913760706,0.050198832425080914
PTPRE,0.03831084540403873,0.6973946071561682,0.1565214152786161
PTPRG,-0.1507995459176803,0.23428523683911684,0.6302550770082892
PTPRS,0.042903884423731053,0.8100137678504739,0.09150759933039605
PYGB,0.11905021732411691,0.45036491240800824,0.3464354523955512
RAD54L,-0.22557502527922035,0.028664381398311845,1.5426574262318333
RAPGEF4,-0.10634855124131493,0.36023502889800907,0.4434140590971437
RASGRF1,-0.40712794971818284,0.00341440405352851,2.466685086667521
RB1,0.11250326158834567,0.5830394883621386,0.23430203015178197
RET,-0.126529910409646,0.1954112417076379,0.7090504556061988
ROCK2,0.1581096199927231,0.4642089332332321,0.3332865062399288
ROR2,-0.14781789358327935,0.21677899937669987,0.663982792689817
RPS6KA1,0.03681563432810264,0.5811027933155726,0.23574703693668075
RUNX1,-0.21538863583589096,0.12430689924597582,0.9055047666012753
RUVBL1,-0.06643223228338346,0.4102660092585979,0.38693446305484946
RXFP1,-0.10249286084379694,0.29272847134333047,0.5335350351816442
RXRA,-0.17398893242813918,0.03765320140038637,1.424198092732487
RYR1,-0.05629612903804715,0.8940455140153206,0.04864037160390455
RYR2,-0.1078925823584791,0.09924727104932513,1.003281425970523
RYR3,-0.042210878374479455,0.4469259781340055,0.34976440069352877
SCN1A,0.05445928668972522,0.9817516307849509,0.007998368651567984
