Phase,Loss(MSE),MAE,RMSE,R2,Pearson,Spearman,Kendall
Train,0.314086,0.182624,0.560434,0.757016,0.878161,0.959831,0.843135
Val,0.272086,0.307715,0.521618,0.386631,0.628818,0.767051,0.590258
