Phase,Loss(MSE),MAE,RMSE,R2,Pearson,Spearman,Kendall
Train,0.955878,0.275034,0.977690,0.260512,0.594998,0.951048,0.824471
Val,0.320377,0.330239,0.566019,0.277766,0.628225,0.757518,0.568112
