Iteration(Tree),Train_Loss(MSE),Val_Loss(MSE)
1,0.733746,2.463643
2,0.701087,2.457567
3,0.671057,2.451355
4,0.642950,2.452221
5,0.617321,2.453316
6,0.593456,2.455482
7,0.571483,2.456693
8,0.550811,2.458549
9,0.531848,2.464504
10,0.514529,2.468195
11,0.498308,2.473189
12,0.483605,2.472552
13,0.469620,2.476553
14,0.456600,2.483277
15,0.444608,2.488679
16,0.433383,2.493000
17,0.423058,2.495679
18,0.413376,2.502736
19,0.404233,2.505497
20,0.396035,2.511901
21,0.388296,2.514149
22,0.380886,2.517053
23,0.373887,2.520148
24,0.367555,2.524275
25,0.361523,2.528830
26,0.356092,2.531214
27,0.351062,2.538731
28,0.346279,2.543856
29,0.341748,2.550308
30,0.337535,2.556283
31,0.333630,2.560298
32,0.329715,2.561497
33,0.326033,2.566238
34,0.322701,2.567226
35,0.319733,2.569752
36,0.316912,2.573143
37,0.313732,2.572909
38,0.311234,2.577157
39,0.308557,2.576967
40,0.306082,2.576739
41,0.303731,2.575957
42,0.301754,2.579223
43,0.299805,2.579296
44,0.297898,2.577965
45,0.296096,2.579707
46,0.294321,2.582241
47,0.292597,2.578671
48,0.291000,2.576089
49,0.289520,2.572617
50,0.288125,2.570181
51,0.286720,2.567769
52,0.285415,2.566054
53,0.284201,2.564926
54,0.283113,2.565149
55,0.282101,2.565442
56,0.281021,2.565840
57,0.280236,2.564874
58,0.278970,2.560206
59,0.278260,2.559122
60,0.277506,2.559572
61,0.276423,2.556043
62,0.275563,2.556003
63,0.274993,2.555487
64,0.274244,2.555774
65,0.273349,2.552785
66,0.272894,2.552211
67,0.272367,2.553282
68,0.271611,2.551110
69,0.271007,2.551015
70,0.270480,2.549108
71,0.269928,2.548863
72,0.269424,2.549501
73,0.268934,2.549038
74,0.268415,2.548077
75,0.268040,2.547046
76,0.267504,2.548286
77,0.267126,2.548319
78,0.266652,2.550733
79,0.266216,2.552932
80,0.265941,2.553067
81,0.265676,2.553765
82,0.265365,2.552957
83,0.265118,2.553645
84,0.264886,2.553922
85,0.264669,2.554848
86,0.264471,2.555342
