Iteration(Tree),Train_Loss(MSE),Val_Loss(MSE)
87,0.264279,2.555715
88,0.264125,2.555321
89,0.263939,2.555591
90,0.263795,2.555560
91,0.263609,2.556450
92,0.263421,2.556069
93,0.263236,2.556230
94,0.263113,2.556279
95,0.262819,2.556352
96,0.262681,2.556021
97,0.262419,2.555745
98,0.262290,2.555380
99,0.262148,2.555511
100,0.262027,2.555688
101,0.261907,2.554948
102,0.261679,2.555832
103,0.261575,2.556002
104,0.261472,2.555682
105,0.261262,2.556402
106,0.261153,2.556916
107,0.260922,2.556860
108,0.260832,2.557277
109,0.260627,2.557292
110,0.260414,2.557319
111,0.260306,2.557719
112,0.260117,2.558263
113,0.259944,2.558784
114,0.259784,2.559267
115,0.259585,2.559299
116,0.259417,2.557106
117,0.259285,2.557249
118,0.259157,2.557307
119,0.259040,2.557687
120,0.258906,2.556288
121,0.258781,2.555789
122,0.258572,2.556714
123,0.258380,2.557598
124,0.258203,2.558442
125,0.257957,2.559278
126,0.257742,2.559788
127,0.257538,2.560603
128,0.257392,2.561455
129,0.257288,2.561178
130,0.257163,2.563363
131,0.257071,2.563151
132,0.256909,2.562869
133,0.256797,2.564986
134,0.256691,2.565021
135,0.256592,2.564370
136,0.256451,2.564118
137,0.256360,2.563628
138,0.256209,2.562317
139,0.256082,2.562774
140,0.256000,2.562420
141,0.255838,2.564278
142,0.255751,2.564113
143,0.255620,2.564938
144,0.255527,2.564992
145,0.255410,2.565102
146,0.255294,2.565854
147,0.255190,2.566965
148,0.255104,2.566440
149,0.255011,2.567455
150,0.254963,2.567242
151,0.254904,2.567327
152,0.254860,2.567006
153,0.254806,2.567367
154,0.254726,2.568170
155,0.254643,2.567798
156,0.254543,2.567084
157,0.254494,2.567184
158,0.254420,2.566618
159,0.254372,2.566869
160,0.254261,2.567086
161,0.254220,2.566884
162,0.254181,2.566796
163,0.254119,2.567023
164,0.254073,2.567105
165,0.254019,2.567173
166,0.253952,2.568139
167,0.253913,2.568309
168,0.253850,2.568308
169,0.253768,2.568128
170,0.253710,2.567696
171,0.253672,2.567874
172,0.253592,2.568625
173,0.253535,2.568621
174,0.253458,2.568797
175,0.253413,2.568643
176,0.253376,2.568565
177,0.253332,2.568312
178,0.253267,2.568053
179,0.253219,2.568433
180,0.253157,2.567790
181,0.253060,2.567914
182,0.252966,2.567933
183,0.252915,2.566411
184,0.252823,2.566760
185,0.252764,2.566968
186,0.252682,2.567124
187,0.252608,2.567125
188,0.252540,2.568003
189,0.252477,2.568841
190,0.252422,2.569721
191,0.252366,2.570210
192,0.252314,2.570938
193,0.252268,2.571579
194,0.252224,2.572195
195,0.252185,2.573084
196,0.252144,2.573660
197,0.252107,2.574499
198,0.252057,2.575071
199,0.252015,2.575898
200,0.251970,2.576483
201,0.251925,2.576761
202,0.251892,2.577190
203,0.251847,2.576961
204,0.251807,2.577259
205,0.251773,2.577614
206,0.251741,2.577272
207,0.251709,2.577557
208,0.251680,2.577751
209,0.251651,2.578087
210,0.251628,2.578113
211,0.251592,2.578340
212,0.251562,2.578219
213,0.251538,2.578365
214,0.251511,2.578464
215,0.251485,2.578726
216,0.251464,2.578633
217,0.251444,2.578365
218,0.251423,2.578447
219,0.251393,2.577973
220,0.251369,2.577834
221,0.251339,2.577672
222,0.251319,2.577722
223,0.251292,2.577681
224,0.251270,2.577602
225,0.251249,2.577526
226,0.251236,2.577312
227,0.251216,2.577258
228,0.251203,2.577177
229,0.251191,2.577052
230,0.251178,2.577038
231,0.251157,2.577001
232,0.251139,2.576967
233,0.251128,2.576954
234,0.251110,2.577163
235,0.251093,2.577332
236,0.251077,2.577465
237,0.251058,2.577688
238,0.251044,2.577783
239,0.251021,2.577835
240,0.251012,2.577969
241,0.250998,2.578105
242,0.250987,2.578129
243,0.250975,2.578159
244,0.250963,2.578223
245,0.250952,2.578350
246,0.250942,2.578309
247,0.250928,2.578164
248,0.250914,2.577948
249,0.250900,2.577627
250,0.250881,2.577487
251,0.250858,2.577044
252,0.250846,2.576776
253,0.250834,2.576487
254,0.250813,2.576125
255,0.250803,2.575823
256,0.250793,2.575646
257,0.250777,2.575695
258,0.250763,2.575697
259,0.250751,2.575762
260,0.250732,2.575443
261,0.250712,2.575231
262,0.250698,2.575014
263,0.250683,2.574742
264,0.250671,2.574632
265,0.250660,2.574399
266,0.250647,2.573966
267,0.250631,2.574072
268,0.250615,2.573996
269,0.250602,2.573963
270,0.250591,2.573992
271,0.250581,2.574033
272,0.250568,2.574078
273,0.250555,2.574177
274,0.250540,2.574015
275,0.250527,2.573848
276,0.250517,2.573747
277,0.250508,2.573623
278,0.250489,2.573344
279,0.250472,2.573205
280,0.250458,2.573267
281,0.250440,2.573498
282,0.250429,2.573356
283,0.250416,2.573333
284,0.250401,2.573411
285,0.250391,2.573472
286,0.250381,2.573277
287,0.250369,2.573368
288,0.250353,2.572910
289,0.250336,2.573189
290,0.250320,2.573486
291,0.250310,2.573534
292,0.250297,2.573437
293,0.250284,2.573426
294,0.250274,2.573583
295,0.250264,2.573579
296,0.250253,2.573775
297,0.250244,2.573818
298,0.250234,2.573601
299,0.250225,2.573841
300,0.250217,2.574097
301,0.250208,2.573921
302,0.250200,2.573757
303,0.250192,2.573743
304,0.250183,2.573800
305,0.250175,2.573668
306,0.250167,2.573744
307,0.250160,2.573621
308,0.250153,2.573700
309,0.250143,2.573761
310,0.250137,2.573757
311,0.250131,2.573803
312,0.250126,2.573769
313,0.250122,2.573794
314,0.250118,2.573869
315,0.250110,2.573807
316,0.250106,2.573885
317,0.250102,2.573957
318,0.250097,2.574032
319,0.250091,2.574166
320,0.250086,2.574203
321,0.250081,2.574321
322,0.250075,2.574350
323,0.250071,2.574365
324,0.250066,2.574222
325,0.250062,2.574141
326,0.250058,2.574139
327,0.250054,2.574204
328,0.250050,2.574247
329,0.250044,2.574306
330,0.250038,2.574389
331,0.250033,2.574409
332,0.250025,2.574455
333,0.250019,2.574569
334,0.250012,2.574648
335,0.250006,2.574836
336,0.250001,2.574923
337,0.249995,2.575066
338,0.249990,2.575179
339,0.249982,2.575330
340,0.249977,2.575360
341,0.249971,2.575309
342,0.249966,2.575333
343,0.249961,2.575189
344,0.249956,2.575149
345,0.249949,2.575126
346,0.249945,2.575046
347,0.249941,2.575006
348,0.249937,2.574971
349,0.249933,2.574938
350,0.249930,2.574780
351,0.249926,2.574730
352,0.249923,2.574739
353,0.249919,2.574629
354,0.249916,2.574586
355,0.249912,2.574554
356,0.249909,2.574514
357,0.249906,2.574471
358,0.249904,2.574492
359,0.249900,2.574505
360,0.249897,2.574450
361,0.249895,2.574447
362,0.249893,2.574336
363,0.249890,2.574216
364,0.249886,2.574201
365,0.249880,2.574460
366,0.249875,2.574708
367,0.249873,2.574681
368,0.249869,2.574804
369,0.249865,2.574860
370,0.249864,2.574836
371,0.249859,2.574949
372,0.249856,2.574971
373,0.249853,2.575011
374,0.249850,2.575157
375,0.249846,2.575228
376,0.249843,2.575371
377,0.249839,2.575430
378,0.249835,2.575493
379,0.249831,2.575656
380,0.249828,2.575674
381,0.249824,2.575670
382,0.249820,2.575835
383,0.249817,2.575984
384,0.249813,2.576017
385,0.249810,2.576051
386,0.249807,2.576186
387,0.249804,2.576342
388,0.249801,2.576364
389,0.249799,2.576352
390,0.249796,2.576415
391,0.249794,2.576483
392,0.249792,2.576554
393,0.249790,2.576571
394,0.249787,2.576522
395,0.249785,2.576476
396,0.249783,2.576437
397,0.249780,2.576451
398,0.249778,2.576473
399,0.249776,2.576459
400,0.249774,2.576499
401,0.249772,2.576537
402,0.249769,2.576513
403,0.249768,2.576527
404,0.249765,2.576511
405,0.249764,2.576537
406,0.249762,2.576514
407,0.249760,2.576507
408,0.249758,2.576573
409,0.249756,2.576605
410,0.249754,2.576610
411,0.249752,2.576619
412,0.249751,2.576593
413,0.249749,2.576564
414,0.249748,2.576527
415,0.249745,2.576531
416,0.249743,2.576553
417,0.249741,2.576562
418,0.249740,2.576614
419,0.249738,2.576547
420,0.249736,2.576531
421,0.249735,2.576520
422,0.249733,2.576447
423,0.249732,2.576434
424,0.249730,2.576432
425,0.249728,2.576478
426,0.249725,2.576417
427,0.249723,2.576463
428,0.249722,2.576480
429,0.249720,2.576417
430,0.249718,2.576410
431,0.249716,2.576477
432,0.249715,2.576550
433,0.249713,2.576541
434,0.249712,2.576609
435,0.249711,2.576666
436,0.249709,2.576492
437,0.249708,2.576563
438,0.249706,2.576575
439,0.249705,2.576433
440,0.249704,2.576508
441,0.249703,2.576565
442,0.249701,2.576552
443,0.249700,2.576564
444,0.249698,2.576492
445,0.249696,2.576493
446,0.249695,2.576450
447,0.249693,2.576455
448,0.249692,2.576485
449,0.249690,2.576454
450,0.249689,2.576435
451,0.249687,2.576539
452,0.249686,2.576532
453,0.249684,2.576636
454,0.249683,2.576746
455,0.249681,2.576777
456,0.249680,2.576770
457,0.249679,2.576782
458,0.249677,2.576751
459,0.249676,2.576794
460,0.249675,2.576773
461,0.249674,2.576782
462,0.249673,2.576797
463,0.249672,2.576776
464,0.249671,2.576757
465,0.249670,2.576739
466,0.249669,2.576708
467,0.249667,2.576802
468,0.249667,2.576810
469,0.249666,2.576818
470,0.249665,2.576779
471,0.249664,2.576768
472,0.249663,2.576735
473,0.249663,2.576725
474,0.249662,2.576716
475,0.249661,2.576722
476,0.249660,2.576714
477,0.249660,2.576723
478,0.249659,2.576704
479,0.249658,2.576708
480,0.249658,2.576722
481,0.249657,2.576710
482,0.249656,2.576785
483,0.249655,2.576819
484,0.249654,2.576842
485,0.249653,2.576867
486,0.249652,2.576869
487,0.249652,2.576881
488,0.249651,2.576867
489,0.249650,2.576869
490,0.249650,2.576857
491,0.249649,2.576855
492,0.249648,2.576853
493,0.249648,2.576846
494,0.249647,2.576833
495,0.249647,2.576822
496,0.249646,2.576804
497,0.249646,2.576818
498,0.249645,2.576809
499,0.249645,2.576764
500,0.249644,2.576785
