Phase,Loss(MSE),MAE,RMSE,R2,Pearson,Spearman,Kendall
Train,0.249644,0.077518,0.499644,0.675401,0.821830,0.983934,0.945775
Val,2.576785,0.800371,1.605237,-0.152274,0.138305,0.514541,0.356838
