Phase,Loss(MSE),MAE,RMSE,R2,Pearson,Spearman,Kendall
Train,0.314549,0.188068,0.560846,0.764814,0.885023,0.957049,0.838499
Val,0.123799,0.260287,0.351851,0.120530,0.566429,0.630108,0.472549
