Iteration(Tree),Train_Loss(MSE),Val_Loss(MSE)
159,0.016589,1.963780
160,0.016324,1.965376
161,0.015984,1.966283
162,0.015670,1.967114
163,0.015322,1.967904
164,0.015065,1.969242
165,0.014753,1.969474
166,0.014450,1.969712
167,0.014101,1.971977
168,0.013774,1.974497
169,0.013464,1.976497
170,0.013187,1.979010
171,0.012930,1.980824
172,0.012696,1.980799
173,0.012484,1.981185
174,0.012275,1.981230
175,0.012059,1.981670
176,0.011787,1.981928
177,0.011530,1.981664
178,0.011282,1.981987
179,0.011037,1.981566
180,0.010778,1.981862
181,0.010546,1.981655
182,0.010310,1.981680
183,0.010101,1.981683
184,0.009885,1.981575
185,0.009645,1.982951
186,0.009447,1.983493
187,0.009223,1.983900
188,0.009030,1.984095
189,0.008883,1.985559
190,0.008747,1.986957
191,0.008623,1.988302
192,0.008478,1.988574
193,0.008363,1.989875
194,0.008257,1.991037
195,0.008156,1.992261
196,0.008069,1.993445
197,0.007938,1.993480
198,0.007807,1.994268
199,0.007699,1.994912
200,0.007586,1.995479
201,0.007455,1.996174
202,0.007341,1.996771
203,0.007249,1.997570
204,0.007132,1.997639
205,0.007027,1.998249
206,0.006916,1.998277
207,0.006829,1.998901
208,0.006751,1.999562
209,0.006674,1.999456
210,0.006540,1.999265
211,0.006471,1.999314
212,0.006331,1.998970
213,0.006256,1.999647
214,0.006135,2.001244
215,0.006002,2.001934
216,0.005894,2.003439
217,0.005792,2.004336
218,0.005682,2.004937
219,0.005581,2.006119
220,0.005488,2.007325
221,0.005390,2.007834
222,0.005302,2.008710
223,0.005221,2.010066
224,0.005137,2.010534
225,0.005061,2.011287
226,0.004984,2.011732
227,0.004910,2.012692
228,0.004842,2.013393
229,0.004769,2.014287
230,0.004696,2.014904
231,0.004632,2.015687
232,0.004584,2.016342
233,0.004528,2.017150
234,0.004469,2.017954
235,0.004418,2.018577
236,0.004362,2.019212
237,0.004295,2.019846
238,0.004234,2.020115
239,0.004176,2.020770
240,0.004110,2.020824
241,0.004059,2.021083
242,0.004011,2.021233
243,0.003947,2.021886
244,0.003905,2.022181
245,0.003865,2.022394
246,0.003811,2.022705
247,0.003772,2.022908
248,0.003725,2.023175
249,0.003687,2.023542
250,0.003652,2.023870
251,0.003615,2.024122
252,0.003575,2.024384
253,0.003540,2.024677
254,0.003483,2.024854
255,0.003424,2.024890
256,0.003365,2.025103
257,0.003315,2.025295
258,0.003275,2.025379
259,0.003225,2.025520
260,0.003191,2.025490
261,0.003149,2.025767
262,0.003106,2.025948
263,0.003068,2.026289
264,0.003036,2.026316
265,0.002998,2.026483
266,0.002966,2.026808
267,0.002929,2.026877
268,0.002895,2.026922
269,0.002854,2.027073
270,0.002817,2.027296
271,0.002792,2.027536
272,0.002769,2.027704
273,0.002748,2.027907
274,0.002728,2.028017
275,0.002690,2.028168
276,0.002666,2.028425
277,0.002647,2.028569
278,0.002608,2.028881
279,0.002571,2.029018
280,0.002535,2.029137
281,0.002482,2.028861
282,0.002430,2.028522
283,0.002385,2.028286
284,0.002341,2.027821
285,0.002300,2.027588
286,0.002260,2.027343
287,0.002218,2.027809
288,0.002174,2.028309
289,0.002136,2.028219
290,0.002102,2.028133
291,0.002065,2.028596
292,0.002031,2.029118
293,0.001996,2.029533
294,0.001961,2.029569
295,0.001932,2.029522
296,0.001905,2.029636
297,0.001867,2.029620
298,0.001832,2.029550
299,0.001800,2.029537
300,0.001774,2.029590
301,0.001748,2.029561
302,0.001726,2.029539
303,0.001697,2.029698
304,0.001677,2.029697
305,0.001654,2.029772
306,0.001631,2.029720
307,0.001601,2.029827
308,0.001574,2.030096
309,0.001548,2.030352
310,0.001524,2.030558
311,0.001502,2.030796
312,0.001481,2.030868
313,0.001457,2.030811
314,0.001434,2.030859
315,0.001416,2.030880
316,0.001396,2.030909
317,0.001378,2.030938
318,0.001363,2.030955
319,0.001345,2.031109
320,0.001326,2.031139
321,0.001311,2.031140
322,0.001296,2.031166
323,0.001281,2.031175
324,0.001264,2.031170
325,0.001251,2.031220
326,0.001237,2.031209
327,0.001226,2.031256
328,0.001209,2.031253
329,0.001194,2.031271
330,0.001178,2.031298
331,0.001163,2.031316
332,0.001149,2.031241
333,0.001133,2.031213
334,0.001115,2.031141
335,0.001103,2.031198
336,0.001086,2.031456
337,0.001070,2.031703
338,0.001059,2.031678
339,0.001047,2.031720
340,0.001032,2.031693
341,0.001018,2.031659
342,0.001007,2.031618
343,0.000996,2.031657
344,0.000985,2.031690
345,0.000976,2.031661
346,0.000966,2.031690
347,0.000957,2.031690
348,0.000948,2.031756
349,0.000939,2.031764
350,0.000929,2.031723
351,0.000920,2.031704
352,0.000906,2.031671
353,0.000895,2.031631
354,0.000883,2.031597
355,0.000873,2.031653
356,0.000863,2.031654
357,0.000850,2.031758
358,0.000840,2.031694
359,0.000828,2.031718
360,0.000811,2.031734
361,0.000795,2.031667
362,0.000780,2.031609
363,0.000767,2.031653
364,0.000753,2.031661
365,0.000740,2.031727
366,0.000726,2.031857
367,0.000714,2.031855
368,0.000702,2.031896
369,0.000687,2.031808
370,0.000673,2.031989
371,0.000662,2.031976
372,0.000651,2.032061
373,0.000639,2.032139
374,0.000629,2.032203
375,0.000619,2.032377
376,0.000610,2.032372
377,0.000601,2.032506
378,0.000592,2.032510
379,0.000583,2.032507
380,0.000575,2.032520
381,0.000566,2.032586
382,0.000558,2.032598
383,0.000550,2.032590
384,0.000543,2.032529
385,0.000534,2.032700
386,0.000527,2.032739
387,0.000521,2.032778
388,0.000514,2.032783
389,0.000508,2.032809
390,0.000502,2.032908
391,0.000496,2.032896
392,0.000491,2.032884
393,0.000485,2.032873
394,0.000480,2.032851
395,0.000475,2.032854
396,0.000470,2.032850
397,0.000465,2.032850
398,0.000461,2.032883
399,0.000456,2.032887
400,0.000451,2.032874
401,0.000447,2.032860
402,0.000443,2.032871
403,0.000439,2.032879
404,0.000432,2.032897
405,0.000427,2.032934
406,0.000420,2.032954
407,0.000413,2.032954
408,0.000407,2.033011
409,0.000400,2.032979
410,0.000395,2.032980
411,0.000389,2.032978
412,0.000383,2.033001
413,0.000377,2.033005
414,0.000372,2.033005
415,0.000365,2.033137
416,0.000361,2.033143
417,0.000356,2.033165
418,0.000352,2.033187
419,0.000347,2.033179
420,0.000341,2.033254
421,0.000337,2.033289
422,0.000332,2.033361
423,0.000329,2.033363
424,0.000325,2.033412
425,0.000321,2.033414
426,0.000316,2.033433
427,0.000312,2.033450
428,0.000308,2.033447
429,0.000305,2.033462
430,0.000301,2.033634
431,0.000298,2.033749
432,0.000294,2.033731
433,0.000291,2.033761
434,0.000286,2.033717
435,0.000283,2.033764
436,0.000280,2.033757
437,0.000276,2.033704
438,0.000272,2.033673
439,0.000269,2.033625
440,0.000266,2.033676
441,0.000263,2.033704
442,0.000261,2.033723
443,0.000259,2.033737
444,0.000257,2.033761
445,0.000255,2.033809
446,0.000253,2.033860
447,0.000249,2.033838
448,0.000246,2.033854
449,0.000242,2.033855
450,0.000238,2.033966
451,0.000235,2.033968
452,0.000232,2.033986
453,0.000230,2.034002
454,0.000228,2.034023
455,0.000225,2.034031
456,0.000223,2.034143
457,0.000221,2.034202
458,0.000218,2.034184
459,0.000216,2.034127
460,0.000213,2.034122
461,0.000211,2.034073
462,0.000208,2.034243
463,0.000206,2.034221
464,0.000203,2.034361
465,0.000200,2.034373
466,0.000197,2.034447
467,0.000194,2.034452
468,0.000191,2.034462
469,0.000189,2.034462
470,0.000186,2.034506
471,0.000184,2.034489
472,0.000181,2.034470
473,0.000178,2.034503
474,0.000176,2.034504
475,0.000173,2.034528
476,0.000170,2.034672
477,0.000168,2.034711
478,0.000166,2.034726
479,0.000163,2.034712
480,0.000161,2.034726
481,0.000159,2.034810
482,0.000157,2.034842
483,0.000154,2.034903
484,0.000152,2.034921
485,0.000151,2.034972
486,0.000149,2.034985
487,0.000147,2.034958
488,0.000145,2.035026
489,0.000144,2.035078
490,0.000142,2.035131
491,0.000140,2.035139
492,0.000139,2.035134
493,0.000137,2.035107
494,0.000134,2.035132
495,0.000133,2.035119
496,0.000130,2.035265
497,0.000128,2.035394
498,0.000126,2.035521
499,0.000124,2.035494
500,0.000123,2.035465
