Iteration(Tree),Train_Loss(MSE),Val_Loss(MSE)
1,1.272354,0.216345
2,1.199286,0.217052
3,1.132850,0.222563
4,1.071353,0.231426
5,1.014646,0.243951
6,0.959751,0.255524
7,0.908867,0.269237
8,0.860688,0.285342
9,0.816506,0.301581
10,0.777718,0.314091
11,0.742535,0.329050
12,0.709327,0.345745
13,0.679087,0.363493
14,0.650907,0.382754
15,0.624964,0.402782
16,0.601142,0.423470
17,0.577200,0.447492
18,0.548626,0.469201
19,0.529736,0.491754
20,0.511844,0.514051
21,0.495057,0.536008
22,0.478751,0.558912
23,0.455138,0.583327
24,0.440399,0.605395
25,0.427197,0.627889
26,0.414839,0.650487
27,0.395361,0.674810
28,0.384107,0.697351
29,0.374205,0.718576
30,0.365037,0.739442
31,0.356699,0.761022
32,0.341083,0.784822
33,0.333496,0.803241
34,0.326192,0.821920
35,0.319452,0.841477
36,0.306422,0.864402
37,0.301218,0.881536
38,0.295951,0.899365
39,0.291265,0.917197
40,0.285061,0.933351
41,0.272677,0.954938
42,0.267719,0.970298
43,0.263500,0.985622
44,0.252720,1.001443
45,0.248753,1.016249
46,0.239597,1.033826
47,0.229573,1.050990
48,0.220868,1.068185
49,0.212759,1.085524
50,0.204516,1.105589
51,0.197425,1.122424
52,0.190932,1.138916
53,0.183913,1.154812
54,0.176716,1.170397
55,0.170315,1.185951
56,0.164242,1.202447
57,0.158061,1.218169
58,0.153154,1.232913
59,0.146987,1.248087
60,0.142350,1.263345
61,0.137421,1.277883
62,0.133245,1.291724
63,0.128513,1.307106
64,0.124875,1.320887
65,0.120519,1.334579
66,0.117406,1.348314
67,0.113297,1.363043
68,0.109718,1.376695
69,0.106837,1.389309
70,0.103529,1.403318
71,0.100398,1.416181
72,0.097929,1.428550
73,0.095639,1.440854
74,0.092656,1.453920
75,0.090033,1.465950
76,0.087330,1.477702
77,0.085016,1.490241
78,0.083020,1.501319
79,0.080408,1.512842
80,0.078420,1.524409
81,0.076033,1.535240
82,0.074291,1.545698
83,0.072183,1.556440
84,0.070032,1.567060
85,0.068204,1.576677
86,0.066454,1.586232
87,0.064575,1.596403
88,0.063266,1.605715
89,0.061502,1.614942
90,0.059848,1.624363
91,0.058815,1.634701
92,0.057466,1.643858
93,0.055888,1.652461
94,0.054587,1.660888
95,0.053242,1.669420
96,0.052013,1.678545
97,0.050755,1.686191
98,0.049832,1.694898
99,0.048649,1.702494
100,0.047554,1.709908
101,0.046736,1.718147
102,0.045685,1.725244
103,0.044594,1.732847
104,0.043669,1.739501
105,0.042592,1.746806
106,0.041883,1.753177
107,0.040852,1.760703
108,0.039891,1.767847
109,0.038978,1.774858
110,0.038080,1.781452
111,0.037433,1.788113
112,0.036609,1.794801
113,0.036024,1.801145
114,0.035480,1.807535
115,0.034599,1.813424
116,0.033880,1.818916
117,0.033159,1.824196
118,0.032703,1.829009
119,0.032021,1.834351
120,0.031446,1.839787
121,0.030751,1.845021
122,0.030095,1.849872
123,0.029557,1.854048
124,0.028968,1.858037
125,0.028476,1.862026
126,0.027957,1.866636
127,0.027411,1.871009
128,0.026909,1.875410
129,0.026434,1.878790
130,0.025969,1.883082
131,0.025350,1.886651
132,0.025040,1.890041
133,0.024351,1.894119
134,0.023867,1.897894
135,0.023409,1.901365
136,0.023165,1.904611
137,0.022885,1.907876
138,0.022507,1.910939
139,0.022106,1.914306
140,0.021798,1.917243
141,0.021508,1.920287
142,0.021176,1.923576
143,0.020860,1.926425
144,0.020604,1.928885
145,0.020289,1.931980
146,0.019995,1.934678
147,0.019747,1.937342
148,0.019524,1.939522
149,0.019256,1.941984
150,0.019069,1.944718
151,0.018894,1.947013
152,0.018674,1.949658
153,0.018366,1.951687
154,0.018042,1.954183
155,0.017753,1.956387
156,0.017513,1.958085
157,0.017180,1.960007
158,0.016875,1.961676
