Phase,Loss(MSE),MAE,RMSE,R2,Pearson,Spearman,Kendall
Train,0.000123,0.008335,0.011099,0.999909,0.999957,0.999310,0.981523
Val,2.035465,0.515095,1.426697,-11.342196,0.207428,0.498688,0.341963
