Phase,Loss(MSE),MAE,RMSE,R2,Pearson,Spearman,Kendall
Train,0.948016,0.282498,0.973661,0.298654,0.648294,0.959403,0.841924
Val,0.130705,0.292028,0.361531,0.207463,0.541497,0.632292,0.445514
